"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.9254","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.2836","88.3582","57.3134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.0746","71.9403","62.0896","68.0597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.0","0.0","80.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","100","0","100","100","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.9552","50","37.9104","38.806","28.3582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","42.9851","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","30","97.0149","100","100","13.7313","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.5672","29.8507","31.9403","50","45.6716","14.9254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","43.8806","0.0","40.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","0","100","100","0","8.0597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.791","41.4925","23.5821","17.3134","76.1194","0","12.5373","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","17.6119","79.7015","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","100","40.2985","100","100","0","0","5.3731","4.1791","0","0","0","0","0","0","0","0","0","0","0","0","22.6866","68.0597","71.3433","43.2836","37.3134","29.8507","59.1045","72.2388","0","0","0","0","0","0","0","0","0","0","0","0","20.0","40.0","79.1045","0.0","70.0","0.0","60.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","1.4925","36.7164","100","100","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","64.4776","69.8508","68.0597","51.0448","0","25.3731","39.7015","84.1791","32.2388","0","0","0","0","0","0","0","0","0","0","0","40.0","60.0","70.0","0.0","0.0","0.0","55.0","70.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0","43.5821","0","96.4179","0","0","100","100","50","30","0","0","0","0","0","0","0","0","0","0","0","50","70.4478","24.4776","34.6269","70.1493","20.2985","59.403","11.0448","35.8209","0","0","0","0","0","0","0","0","0","0","40.0","0.0","90.4478","0.0","50.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","100","0","85.9702","18.209","100","100","100","100","97.6119","0","0","0","0","0","0","0","0","0","0","0","13.1343","29.2537","62.9851","72.8358","33.7313","68.6567","75.8209","50","65.9701","69.5522","94.3284","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","40.0","30.0","0.0","34.3284","0.0","60.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0","13.7313","100","100","100","90.4478","0","100","98.209","91.9403","18.209","100","0","0","0","0","0","0","0","0","20","33.1343","74.3284","81.4925","59.403","50","61.194","39.7015","11.9403","65.6716","50","50","0","0","0","0","0","0","0","0","47.0","0.0","60.0","0.0","40.0","54.0","0.0","0.0","60.0","56.7164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","13.1343","100","100","0","0","0","0","0","0","100","9.8507","4.1791","75.2239","0","0","0","0","0","0","0","77.6119","91.3433","100","54.6269","67.1642","100","50","10.7463","93.1343","90","0","67.7612","11.6418","0","0","0","0","0","0","0","60.0","40.0","92.2388","0.0","0.0","0.0","0.0","60.0","88.0597","60.0","70.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0","0","0","100","0","0","0","50","0","0","100","50","85.9702","100","0","0","0","0","0","0","98.209","0","50","14.3284","46.8657","23.5821","69.2537","6.8657","86.2687","80","0","27.1642","100","25.0746","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.8209","30.0","60.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","100","100","100","100","0","3.2836","0","100","0","0","0","100","29.2537","0","100","0","0","0","0","0","33.1343","28.0597","71.0448","34.0299","65.3731","65.9701","64.1791","87.7612","65.9701","36.1194","70.7463","41.194","24.1791","0","21.194","0","0","0","0","0","0.0","30.0","80.0","40.0","0.0","0.0","0.0","0.0","0.0","62.6866","0.0","75.5224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","100","18.209","43.2836","0","2.9851","7.7612","100","0","100","39.7015","100","75.8209","0","92.8358","100","64.7761","0","0","0","0","82.0896","32.2388","100","80.2985","65.6716","90","0","62.3881","25.6716","0","34.3284","86.2687","31.0448","94.9254","100","82.9851","0","0","0","0","0.0","0.0","0.0","0.0","60.0","0.0","0.0","60.0","0.0","0.0","60.0","60.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","100","100","0","100","0","100","0","0","100","81.791","100","100","0","9.5522","50","100","0","0","0","0","30","93.4328","72.5373","51.3433","66.2687","20","76.4179","20.8955","51.6418","88.9552","79.403","70.1493","50","26.2687","70","77.9105","100","0","0","0","40.0","60.0","0.0","3.5821","0.0","40.0","0.0","0.0","60.0","60.0","60.0","70.0","60.8955","0.0","0.0","60.0","34.0299","0.0","0.0","0.0"
"20","100","50","100","100","28.3582","100","95.8209","100","0","100","13.1343","100","5.9701","94.0299","100","100","40","100","0","0","57.9105","72.2388","42.6866","13.4328","23.5821","40","50","62.3881","69.7015","54.6269","35.8209","70.7463","18.209","24.4776","85.3731","76.1194","3.8806","80","0","0","0.0","0.0","90.0","42.0896","70.0","20.0","0.0","0.0","0.0","0.0","0.0","80.0","60.0","0.0","0.0","0.0","60.0","0.0","0.0","0.0"
"21","0","100","59.7015","0","0.8955","0","100","100","100","0","3.2836","100","0","0","100","100","68.9552","100","100","0","76.7164","66.5672","22.6866","98.209","19.1045","85.0746","88.9552","50","30","18.806","50","32.2388","33.4328","23.2836","100","66.2687","4.7761","90","66.5672","0","50.597","0.0","60.0","60.0","50.0","60.0","0.0","0.0","0.0","61.0","0.0","0.0","70.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0"
