,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,100,69.7605,68.2635,0,0,4.7904,73.3533,0,0,97.6048,16.1677,79.3413,88.6228,26.0479,0,0,0,77,0,0
1,69.7605,100,0,4.1916,100,79.9401,86.2275,0,0,8.6826,95.509,75.7485,97.006,0,0,0,0,89,0,100
2,68.2635,0,100,0,0,0,0,0,0,0,0,0.2994,0,0,0,89.521,0,0,0,0
3,0,4.1916,0,100,0,84.7305,1.7964,0,0,4.4910000000000005,77.2455,0,6.5868,0,0,0,0,0,4.7904,0
4,0,100,0,0,100,90,77.2455,6.5868,1.4969999999999999,0,94.9102,90.4192,83.2335,0,0,65.5689,0,0,8.0838,77
5,4.7904,79.9401,0,84.7305,90,100,100,6.8862,0,0,0,2.3952,70.6587,0,0,0,0,0,0,100
6,73.3533,86.2275,0,1.7964,77.2455,100,100,0,90.4192,0,0,100,0,15.5689,0,0,0,0,91.3174,67
7,0,0,0,0,6.5868,6.8862,0,100,0.5988,80,0,0,0,67.3653,50,65.8683,0,100,20.0599,0
8,0,0,0,0,1.4969999999999999,0,90.4192,0.5988,100,80.2395,0,94.6108,1.1976,100,0,0,100,0,0,0
9,97.6048,8.6826,0,4.4910000000000005,0,0,0,80,80.2395,100,0,88.3234,100,0,0,0,23.6527,1,0,18
10,16.1677,95.509,0,77.2455,94.9102,0,0,0,0,0,100,0,79.9401,93.7126,0,0,5.9879999999999995,0,0,0
11,79.3413,75.7485,0.2994,0,90.4192,2.3952,100,0,94.6108,88.3234,0,100,16.4671,0,50,91.01799999999999,0,0,0,4
12,88.6228,97.006,0,6.5868,83.2335,70.6587,0,0,1.1976,100,79.9401,16.4671,100,0,1,79.3413,0,0,79.9401,0
13,26.0479,0,0,0,0,0,15.5689,67.3653,100,0,93.7126,0,0,100,70,100,0,0,0,0
14,0,0,0,0,0,0,0,50,0,0,0,50,1.7964,70.9581,100,0,0,0,0,0
15,0,0,89.521,0,65.5689,0,0,65.8683,0,0,0,91.01799999999999,79.3413,100,0,100,89.521,0,0,0
16,0,0,0,0,0,0,0,0,100,23.6527,5.9879999999999995,0,0,0,0,89.521,100,0,97.006,100
17,77.2455,89.2216,0,0,0,0,0,100,0,1.4969999999999999,0,0,0,0,0,0,0,100,0,0
18,0,0,0,4.7904,8.0838,0,91.3174,20.0599,0,0,0,0,79.9401,0,0,0,97.006,0,100,9
19,0,100,0,0,77.5449,100,67.9641,0,0,18.5629,0,4.4910000000000005,0,0.1796,0,0,100,0,9.8802,100